Comunidad autónoma de residencia	Concepto turístico	Tipo de dato	Periodo	Total
18 Ceuta	Viajes	Distribución porcentual del acumulado	2018T2	0,1
18 Ceuta	Viajes	Distribución porcentual del acumulado	2018T1	0,1
18 Ceuta	Viajes	Distribución porcentual del acumulado	2017T4	0,2
18 Ceuta	Viajes	Distribución porcentual del acumulado	2017T3	0,1
18 Ceuta	Viajes	Distribución porcentual del acumulado	2017T2	0,1
18 Ceuta	Viajes	Distribución porcentual del acumulado	2017T1	0,2
18 Ceuta	Viajes	Distribución porcentual del acumulado	2016T4	0,2
18 Ceuta	Viajes	Distribución porcentual del acumulado	2016T3	0,2
18 Ceuta	Viajes	Distribución porcentual del acumulado	2016T2	0,2
18 Ceuta	Viajes	Distribución porcentual del acumulado	2016T1	0,2
18 Ceuta	Viajes	Distribución porcentual del acumulado	2015T4	0,2
18 Ceuta	Viajes	Distribución porcentual del acumulado	2015T3	0,2
18 Ceuta	Viajes	Distribución porcentual del acumulado	2015T2	0,2
18 Ceuta	Viajes	Distribución porcentual del acumulado	2015T1	0,2
18 Ceuta	Viajes	Variación anual	2021T2	..
18 Ceuta	Viajes	Variación anual	2021T1	-56,79
18 Ceuta	Viajes	Variación anual	2020T4	-60,74
18 Ceuta	Viajes	Variación anual	2020T3	-62,24
18 Ceuta	Viajes	Variación anual	2020T2	..
18 Ceuta	Viajes	Variación anual	2020T1	-40,56
18 Ceuta	Viajes	Variación anual	2019T4	-26,03
18 Ceuta	Viajes	Variación anual	2019T3	12,15
18 Ceuta	Viajes	Variación anual	2019T2	51,83
18 Ceuta	Viajes	Variación anual	2019T1	27,45
18 Ceuta	Viajes	Variación anual	2018T4	-24,34
18 Ceuta	Viajes	Variación anual	2018T3	6,6
18 Ceuta	Viajes	Variación anual	2018T2	6,68
18 Ceuta	Viajes	Variación anual	2018T1	-11,91
18 Ceuta	Viajes	Variación anual	2017T4	22,82
18 Ceuta	Viajes	Variación anual	2017T3	-12,3
18 Ceuta	Viajes	Variación anual	2017T2	-24,72
18 Ceuta	Viajes	Variación anual	2017T1	-28,12
18 Ceuta	Viajes	Variación anual	2016T4	-4,99
18 Ceuta	Viajes	Variación anual	2016T3	0,43
18 Ceuta	Viajes	Variación anual	2016T2	11,52
18 Ceuta	Viajes	Variación anual	2016T1	39,44
18 Ceuta	Viajes	Variación anual	2015T4	""
18 Ceuta	Viajes	Variación anual	2015T3	""
18 Ceuta	Viajes	Variación anual	2015T2	""
18 Ceuta	Viajes	Variación anual	2015T1	""
18 Ceuta	Viajes	Variación anual del acumulado en lo que va de año	2021T2	-2,34
18 Ceuta	Viajes	Variación anual del acumulado en lo que va de año	2021T1	-56,79
18 Ceuta	Viajes	Variación anual del acumulado en lo que va de año	2020T4	-66,54
18 Ceuta	Viajes	Variación anual del acumulado en lo que va de año	2020T3	-67,74
18 Ceuta	Viajes	Variación anual del acumulado en lo que va de año	2020T2	-71,02
18 Ceuta	Viajes	Variación anual del acumulado en lo que va de año	2020T1	-40,56
18 Ceuta	Viajes	Variación anual del acumulado en lo que va de año	2019T4	14,11
18 Ceuta	Viajes	Variación anual del acumulado en lo que va de año	2019T3	28,56
18 Ceuta	Viajes	Variación anual del acumulado en lo que va de año	2019T2	40,86
18 Ceuta	Viajes	Variación anual del acumulado en lo que va de año	2019T1	27,45
18 Ceuta	Viajes	Variación anual del acumulado en lo que va de año	2018T4	-7,12
18 Ceuta	Viajes	Variación anual del acumulado en lo que va de año	2018T3	1,16
18 Ceuta	Viajes	Variación anual del acumulado en lo que va de año	2018T2	-2,57
18 Ceuta	Viajes	Variación anual del acumulado en lo que va de año	2018T1	-11,91
18 Ceuta	Viajes	Variación anual del acumulado en lo que va de año	2017T4	-10,9
18 Ceuta	Viajes	Variación anual del acumulado en lo que va de año	2017T3	-21,29
18 Ceuta	Viajes	Variación anual del acumulado en lo que va de año	2017T2	-26,45
18 Ceuta	Viajes	Variación anual del acumulado en lo que va de año	2017T1	-28,12
18 Ceuta	Viajes	Variación anual del acumulado en lo que va de año	2016T4	9,09
18 Ceuta	Viajes	Variación anual del acumulado en lo que va de año	2016T3	14,31
18 Ceuta	Viajes	Variación anual del acumulado en lo que va de año	2016T2	24,18
18 Ceuta	Viajes	Variación anual del acumulado en lo que va de año	2016T1	39,44
18 Ceuta	Viajes	Variación anual del acumulado en lo que va de año	2015T4	""
18 Ceuta	Viajes	Variación anual del acumulado en lo que va de año	2015T3	""
18 Ceuta	Viajes	Variación anual del acumulado en lo que va de año	2015T2	""
18 Ceuta	Viajes	Variación anual del acumulado en lo que va de año	2015T1	""
18 Ceuta	Duración media de los viajes	Valor absoluto	2021T2	3,38
18 Ceuta	Duración media de los viajes	Valor absoluto	2021T1	5,46
18 Ceuta	Duración media de los viajes	Valor absoluto	2020T4	4,41
18 Ceuta	Duración media de los viajes	Valor absoluto	2020T3	11,74
18 Ceuta	Duración media de los viajes	Valor absoluto	2020T2	..
18 Ceuta	Duración media de los viajes	Valor absoluto	2020T1	4,52
18 Ceuta	Duración media de los viajes	Valor absoluto	2019T4	4
18 Ceuta	Duración media de los viajes	Valor absoluto	2019T3	6,1
18 Ceuta	Duración media de los viajes	Valor absoluto	2019T2	3,08
18 Ceuta	Duración media de los viajes	Valor absoluto	2019T1	3,37
18 Ceuta	Duración media de los viajes	Valor absoluto	2018T4	3,7
18 Ceuta	Duración media de los viajes	Valor absoluto	2018T3	7,24
18 Ceuta	Duración media de los viajes	Valor absoluto	2018T2	2,95
18 Ceuta	Duración media de los viajes	Valor absoluto	2018T1	4,08
18 Ceuta	Duración media de los viajes	Valor absoluto	2017T4	3,38
18 Ceuta	Duración media de los viajes	Valor absoluto	2017T3	7,35
18 Ceuta	Duración media de los viajes	Valor absoluto	2017T2	3,25
